#{"t_start": 1766304136.6743689, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-93.69421,210,14200.847776
-91.695954,2000,14400.718278
-79.326051,211,14419.821817
-81.103532,123,14431.99588
-182.932523,1539,14576.054831
-0.319237,2000,14762.428781
-58.745467,2000,14947.221642
-116.304582,2000,15132.800981
-48.595774,328,15164.757646
-82.79099,108,15173.866177
-91.137828,117,15185.00596
-76.680733,297,15212.865888
-59.564803,2000,15401.444432
-91.263745,2000,15587.16983
-58.232633,358,15620.807305
-57.092729,284,15647.126949
-67.271445,2000,15835.278294
-97.184696,272,15861.378062
-91.831209,134,15874.342937
-17.949449,787,15949.328366
-36.037795,2000,16137.485406
-19.872464,409,16174.721247
-53.999222,203,16194.559688
-45.854158,269,16218.965706
-76.957379,131,16230.971767
-135.065606,256,16255.8632
-32.283031,346,16288.500675
-81.238348,293,16316.525765
-47.225983,260,16340.427325
-41.151781,678,16405.057626
-91.48097,132,16417.527993
-72.829889,188,16434.861208
-43.689113,331,16465.713341
50.428371,740,16535.573281
-38.912686,261,16560.504445
-52.313837,296,16588.476335
-109.112792,115,16599.654374
-90.501064,157,16614.842794
-56.775724,241,16638.789218
-2.969358,735,16707.59163
42.835534,723,16775.302125
-84.504566,111,16785.538874
-3.695341,2000,16973.319316
-103.828317,294,17000.954792
-87.997345,118,17010.741282
-91.844082,2000,17195.734021
-39.860509,286,17222.014457
-34.712707,2000,17408.544337
-129.821781,2000,17602.353145
-51.287765,210,17622.202646
-45.008323,2000,17815.188288
-125.539989,2000,18007.291714
-60.452294,2000,18201.277889
-83.75535,2000,18393.470928
49.11195,1162,18504.182012
-44.696774,274,18529.378686
30.805232,568,18584.390967
-96.630493,227,18607.085904
-28.787042,377,18642.253577
-95.508795,127,18654.447092
-96.362353,176,18670.878198
11.052274,525,18721.833933
-74.903103,214,18741.913656
-17.310964,2000,18938.535613
-111.668913,289,18966.803486
-56.465286,222,18988.75702
-98.964901,324,19019.539141
-99.897955,352,19052.755221
